rownames,UP0042_CTRL,UR16_2319_HP160021451_A,UP0042HHT1,UP0042_HHE1.combined,UP0042_HHE3.combined
1:116500001-117000000,1.0569584307770548,1.0244251704487495,1.0175717461441274,1.0529973190933717,0.9973257399297581
1:117000001-117500000,0.9394418943453785,0.9747315392947401,0.8974382962230238,1.0100295685371288,0.9894218546469659
1:117500001-118000000,1.0162245202127294,1.021443007383285,1.0416991553343387,1.0222402074536105,1.0019465269376915
1:118000001-118500000,1.0288834070287014,1.0342753755940495,0.965877375847147,1.0388187943897198,0.9770963786657234
1:118500001-119000000,1.0417404875660503,1.025753515919051,1.013561561404711,0.9222198309465355,0.9622140377855217
1:119000001-119500000,1.0106528401277461,1.0012428081724598,0.970500747814988,0.9082918039999902,0.9740355080728583
1:119500001-120000000,1.0074903172027359,0.9576122730258518,0.9358714654234296,0.8867220851454599,0.9373402890915241
1:120000001-120500000,1.0274109516344612,0.9725039038218517,0.8734754035864085,0.9709326539013139,0.9701558713480599
1:120500001-121000000,,,,,
1:121000001-121500000,,,,,
1:121500001-122000000,,,,,
1:122000001-122500000,,,,,
1:122500001-123000000,,,,,
1:123000001-123500000,,,,,
1:123500001-124000000,,,,,
1:124000001-124500000,,,,,
1:124500001-125000000,,,,,
1:125000001-125500000,,,,,
1:125500001-126000000,,,,,
1:126000001-126500000,,,,,
1:126500001-127000000,,,,,
1:127000001-127500000,,,,,
1:127500001-128000000,,,,,
1:128000001-128500000,,,,,
1:128500001-129000000,,,,,
1:129000001-129500000,,,,,
1:129500001-130000000,,,,,
1:130000001-130500000,,,,,
1:130500001-131000000,,,,,
1:131000001-131500000,,,,,
1:131500001-132000000,,,,,
1:132000001-132500000,,,,,
1:132500001-133000000,,,,,
1:133000001-133500000,,,,,
1:133500001-134000000,,,,,
1:134000001-134500000,,,,,
1:134500001-135000000,,,,,
1:135000001-135500000,,,,,
1:135500001-136000000,,,,,
1:136000001-136500000,,,,,
1:136500001-137000000,,,,,
1:137000001-137500000,,,,,
1:137500001-138000000,,,,,
1:138000001-138500000,,,,,
1:138500001-139000000,,,,,
1:139000001-139500000,,,,,
1:139500001-140000000,,,,,
1:140000001-140500000,,,,,
1:140500001-141000000,,,,,
1:141000001-141500000,,,,,
1:141500001-142000000,,,,,
1:142000001-142500000,,,,,
1:142500001-143000000,,,,,
1:143000001-143500000,,,,,
1:143500001-144000000,,,,,
1:144000001-144500000,,,,,
1:144500001-145000000,,,,,
1:145000001-145500000,,,,,
1:145500001-146000000,,,,,
1:146000001-146500000,,,,,
1:146500001-147000000,1.0570671004642773,0.965561220383018,0.8909814979576949,1.036560258740672,1.0233661461875074
1:147000001-147500000,,,,,
1:147500001-148000000,,,,,
1:148000001-148500000,,,,,
1:148500001-149000000,,,,,
1:149000001-149500000,,,,,
1:149500001-150000000,,,,,
1:150000001-150500000,,,,,
1:150500001-151000000,1.0342180629792572,1.0514382835577036,1.1185445740296067,1.1063222992189006,1.0648055435858983
1:151000001-151500000,1.0038077038970976,1.1465657820869743,1.1897111734539934,1.026357746919658,0.9798191255018436
1:151500001-152000000,0.9752175035893843,1.2855940740805059,1.30959868246696,1.0069205418525966,0.9972569977021034
1:152000001-152500000,0.9779441705076672,1.138883123962664,1.0852094395807168,0.9214365808147473,0.9761684324184098
1:152500001-153000000,0.9883328338769725,1.1395058061835133,1.0965602408665804,0.828257782472332,0.9077644143728905
1:153000001-153500000,1.0940349881239244,0.990796325439443,1.0038810068764676,0.9677191823719226,0.9724421882828764
1:153500001-154000000,1.0882554042379715,1.054439914483412,1.1553685712999417,1.1059560422539425,0.9922927348955798
1:154000001-154500000,1.0112077046374663,1.0475417770217805,1.0951471855287007,1.05519657141861,1.0114834406498778
