rownames,UP0055_CTRL,UH16_300,UH18_22546,UP0055_HHE1.combined,UP0055_HHE2.combined
1:73000001-73500000,0.9836861734266039,0.9532984050027802,0.9468952729796816,0.9820982647052949,0.9536524924542598
1:73500001-74000000,0.9909125181349719,1.0147719306381855,0.9766900190872458,0.9626157021953611,0.9846693908528408
1:74000001-74500000,1.0057196307768277,1.0114892997289044,0.9521714904163319,0.8845712860028305,0.9643986914720405
1:74500001-75000000,1.0300310264579293,0.9862460751482626,0.9902367050546218,1.0058206993208645,0.9440224495621243
1:75000001-75500000,1.0322951372102374,0.9339629269860855,0.9320385694685158,0.9781987774859559,1.0052712787595952
1:75500001-76000000,1.016389218459138,0.9472305453319425,0.9989583337975907,0.9379210080723117,1.0324969050816168
1:76000001-76500000,,,,,
1:76500001-77000000,1.0240933370743248,1.006729629395964,0.9510128482433886,1.021205807249561,1.0166688803435877
1:77000001-77500000,0.9616395133848096,0.9842471938521569,0.9454764956755907,0.9505566277586606,0.9964601444782157
1:77500001-78000000,1.0359965328438456,1.0561536501156212,0.9654114290579173,0.9495930509686721,1.0052526440059935
1:78000001-78500000,0.9767522788056339,0.99401279890583,1.1115614971399645,0.9716727781482145,0.9758092683552696
1:78500001-79000000,0.9976780964461506,0.9538171789815557,0.984225884651727,1.0606397350236128,1.0313985676153956
1:79000001-79500000,0.9629443800736511,0.9605816791406869,1.0081483622799978,0.9442281472405496,0.978596803954243
1:79500001-80000000,1.000800565941077,0.9545502460069383,0.9893869268387243,0.9321577190098974,0.9489380686543036
1:80000001-80500000,0.9641217729642568,0.9047786127242271,0.9873785721915186,0.9237206439809814,0.9468613210171553
1:80500001-81000000,1.0233397212867652,0.911000107013287,0.9885237347101096,0.9181282139687345,0.9753948528611021
1:81000001-81500000,0.99362239740061,0.914762762067153,1.016213661882994,1.019587438019864,1.0147492228345463
1:81500001-82000000,0.9921025156613121,0.9931211069421156,1.0143287021789098,0.9920058152893142,0.9454807583588946
