rownames,UP0056_CTRL,UH18_12903,UP0056_HHE2.combined,UP0056_HHE1.combined
1:101000001-101500000,1.0793097683406356,0.994350972896956,1.1019431351052258,1.1109661420651677
1:101500001-102000000,1.0521862596299838,0.974200901734451,1.0291190128847187,1.0865509164681026
1:102000001-102500000,,,,
1:102500001-103000000,0.9824662232260344,1.0207776003679998,1.1092961338126606,1.01450006911355
1:103000001-103500000,,,,
1:103500001-104000000,,,,
1:104000001-104500000,,,,
1:104500001-105000000,1.044169803155757,0.9916169207606041,1.1616198762343368,1.01977824906258
1:105000001-105500000,1.01451695460534,0.9638335655289026,1.2464827205165587,1.0202961260023857
1:105500001-106000000,0.9635213491817114,1.0308662700487374,0.9686678870608973,1.0151435974101115
1:106000001-106500000,0.9640675494860279,0.955957441114295,0.9181129799034882,0.8947921294412133
1:106500001-107000000,0.9812076206459452,0.9707154340667341,0.9786199880727308,0.9836472695071817
1:107000001-107500000,0.9790514934271624,1.0356767959096385,0.9660527142396205,0.9521682861773932
1:107500001-108000000,1.0481823542558506,1.0544748076488155,0.9887704895733459,0.9955190921273485
1:108000001-108500000,,,,
1:108500001-109000000,,,,
1:109000001-109500000,1.0000553023951282,0.9830065631280892,0.9897402784794371,1.0076004804392293
1:109500001-110000000,,,,
1:110000001-110500000,0.9080795280324127,0.9232037307939632,1.0027553573280117,1.0067233276744674
1:110500001-111000000,,,,
1:111000001-111500000,0.986577990519906,1.0210607615369764,1.0313588988357227,1.07501083511355
